
========================================================================================================================
All Models Sorted by Price (Input + Output)
========================================================================================================================
Provider                   | Name                                                 |   Input |  Write |   Read |     Out | Model                                               
OpenRouter                 | meta-llama/llama-3.1-405b:free                       |         |        |        |         | meta-llama/llama-3.1-405b:free                      
OpenRouter                 | meta-llama/llama-3.1-8b-instruct:free                |         |        |        |         | meta-llama/llama-3.1-8b-instruct:free               
OpenRouter                 | meta-llama/llama-3.2-11b-vision-instruct:free        |         |        |        |         | meta-llama/llama-3.2-11b-vision-instruct:free       
OpenRouter                 | meta-llama/llama-3.2-1b-instruct:free                |         |        |        |         | meta-llama/llama-3.2-1b-instruct:free               
OpenRouter                 | meta-llama/llama-3.2-3b-instruct:free                |         |        |        |         | meta-llama/llama-3.2-3b-instruct:free               
OpenRouter                 | meta-llama/llama-3.3-70b-instruct:free               |         |        |        |         | meta-llama/llama-3.3-70b-instruct:free              
OpenRouter                 | meta-llama/llama-4-maverick:free                     |         |        |        |         | meta-llama/llama-4-maverick:free                    
OpenRouter                 | meta-llama/llama-4-scout:free                        |         |        |        |         | meta-llama/llama-4-scout:free                       
OpenRouter                 | Mistral 7B Instruct (free)                           |         |        |        |         | mistral-7b-instruct:free                            
OpenRouter                 | Mistral Nemo (free)                                  |         |        |        |         | mistral-nemo:free                                   
OpenRouter                 | Mistral Small 3 (free)                               |         |        |        |         | mistral-small-24b-instruct-2501:free                
OpenRouter                 | Mistral Small 3.1 24B (free)                         |         |        |        |         | mistral-small-3.1-24b-instruct:free                 
OpenRouter                 | Mistral Small 3.2 24B (free)                         |         |        |        |         | mistral-small-3.2-24b-instruct:free                 
OpenRouter                 | mistralai/mistral-7b-instruct:free                   |         |        |        |         | mistralai/mistral-7b-instruct:free                  
OpenRouter                 | mistralai/mistral-nemo:free                          |         |        |        |         | mistralai/mistral-nemo:free                         
OpenRouter                 | mistralai/mistral-small-24b-instruct-2501:free       |         |        |        |         | mistralai/mistral-small-24b-instruct-2501:free      
OpenRouter                 | mistralai/mistral-small-3.1-24b-instruct:free        |         |        |        |         | mistralai/mistral-small-3.1-24b-instruct:free       
OpenRouter                 | moonshotai/kimi-vl-a3b-thinking:free                 |         |        |        |         | moonshotai/kimi-vl-a3b-thinking:free                
OpenRouter                 | moonshotai/moonlight-16b-a3b-instruct:free           |         |        |        |         | moonshotai/moonlight-16b-a3b-instruct:free          
OpenRouter                 | nousresearch/deephermes-3-llama-3-8b-preview:free    |         |        |        |         | nousresearch/deephermes-3-llama-3-8b-preview:free   
OpenRouter                 | nvidia/llama-3.1-nemotron-70b-instruct:free          |         |        |        |         | nvidia/llama-3.1-nemotron-70b-instruct:free         
OpenRouter                 | nvidia/llama-3.1-nemotron-nano-8b-v1:free            |         |        |        |         | nvidia/llama-3.1-nemotron-nano-8b-v1:free           
OpenRouter                 | nvidia/llama-3.1-nemotron-ultra-253b-v1:free         |         |        |        |         | nvidia/llama-3.1-nemotron-ultra-253b-v1:free        
OpenRouter                 | nvidia/llama-3.3-nemotron-super-49b-v1:free          |         |        |        |         | nvidia/llama-3.3-nemotron-super-49b-v1:free         
OpenRouter                 | open-r1/olympiccoder-32b:free                        |         |        |        |         | open-r1/olympiccoder-32b:free                       
OpenRouter                 | open-r1/olympiccoder-7b:free                         |         |        |        |         | open-r1/olympiccoder-7b:free                        
OpenRouter                 | Phi 4 Reasoning Plus (free)                          |         |        |        |         | phi-4-reasoning-plus:free                           
OpenRouter                 | Phi 4 Reasoning (free)                               |         |        |        |         | phi-4-reasoning:free                                
OpenRouter                 | Qwen2.5 72B Instruct (free)                          |         |        |        |         | qwen-2.5-72b-instruct:free                          
OpenRouter                 | Qwen2.5 Coder 32B Instruct (free)                    |         |        |        |         | qwen-2.5-coder-32b-instruct:free                    
OpenRouter                 | qwen/qwen-2.5-72b-instruct:free                      |         |        |        |         | qwen/qwen-2.5-72b-instruct:free                     
OpenRouter                 | qwen/qwen-2.5-7b-instruct:free                       |         |        |        |         | qwen/qwen-2.5-7b-instruct:free                      
OpenRouter                 | qwen/qwen-2.5-coder-32b-instruct:free                |         |        |        |         | qwen/qwen-2.5-coder-32b-instruct:free               
OpenRouter                 | qwen/qwen-2.5-vl-7b-instruct:free                    |         |        |        |         | qwen/qwen-2.5-vl-7b-instruct:free                   
OpenRouter                 | qwen/qwen2.5-vl-32b-instruct:free                    |         |        |        |         | qwen/qwen2.5-vl-32b-instruct:free                   
OpenRouter                 | qwen/qwen2.5-vl-3b-instruct:free                     |         |        |        |         | qwen/qwen2.5-vl-3b-instruct:free                    
OpenRouter                 | qwen/qwen2.5-vl-72b-instruct:free                    |         |        |        |         | qwen/qwen2.5-vl-72b-instruct:free                   
OpenRouter                 | qwen/qwq-32b-preview:free                            |         |        |        |         | qwen/qwq-32b-preview:free                           
OpenRouter                 | qwen/qwq-32b:free                                    |         |        |        |         | qwen/qwq-32b:free                                   
OpenRouter                 | Qwen2.5 VL 32B Instruct (free)                       |         |        |        |         | qwen2.5-vl-32b-instruct:free                        
OpenRouter                 | Qwen2.5 VL 72B Instruct (free)                       |         |        |        |         | qwen2.5-vl-72b-instruct:free                        
OpenRouter                 | Qwen3 14B (free)                                     |         |        |        |         | qwen3-14b:free                                      
OpenRouter                 | Qwen3 235B A22B (free)                               |         |        |        |         | qwen3-235b-a22b:free                                
OpenRouter                 | Qwen3 30B A3B (free)                                 |         |        |        |         | qwen3-30b-a3b:free                                  
OpenRouter                 | Qwen3 32B (free)                                     |         |        |        |         | qwen3-32b:free                                      
OpenRouter                 | Qwen3 8B (free)                                      |         |        |        |         | qwen3-8b:free                                       
OpenRouter                 | Qwerky 72B (free)                                    |         |        |        |         | qwerky-72b:free                                     
OpenRouter                 | QwQ 32B RpR v1 (free)                                |         |        |        |         | qwq-32b-arliai-rpr-v1:free                          
OpenRouter                 | QwQ 32B (free)                                       |         |        |        |         | qwq-32b:free                                        
OpenRouter                 | Flash 3 (free)                                       |         |        |        |         | reka-flash-3:free                                   
OpenRouter                 | rekaai/reka-flash-3:free                             |         |        |        |         | rekaai/reka-flash-3:free                            
OpenRouter                 | Sarvam-M (free)                                      |         |        |        |         | sarvam-m:free                                       
OpenRouter                 | shisa-ai/shisa-v2-llama3.3-70b:free                  |         |        |        |         | shisa-ai/shisa-v2-llama3.3-70b:free                 
OpenRouter                 | Shisa V2 Llama 3.3 70B  (free)                       |         |        |        |         | shisa-v2-llama3.3-70b:free                          
OpenRouter                 | sophosympatheia/rogue-rose-103b-v0.2:free            |         |        |        |         | sophosympatheia/rogue-rose-103b-v0.2:free           
OpenRouter                 | thudm/glm-4-32b:free                                 |         |        |        |         | thudm/glm-4-32b:free                                
OpenRouter                 | thudm/glm-z1-32b:free                                |         |        |        |         | thudm/glm-z1-32b:free                               
OpenRouter                 | Llama 3.2 1B Instruct                                |   $0.01 |        |        |   $0.01 | llama-3.2-1b-instruct                               
OpenAI                     | text-embedding-3-small                               |   $0.02 |        |        |         | text-embedding-3-small                              
OpenAI                     | text embedding 3                                     |   $0.02 |        |        |         | text-embedding-3-small                              
OpenRouter                 | LFM 7B                                               |   $0.01 |        |        |   $0.01 | lfm-7b                                              
OpenRouter                 | liquid/lfm-7b                                        |   $0.01 |        |        |   $0.01 | liquid/lfm-7b                                       
OpenRouter                 | meta-llama/llama-3.2-1b-instruct                     |   $0.01 |        |        |   $0.01 | meta-llama/llama-3.2-1b-instruct                    
OpenRouter                 | Mistral Nemo                                         |   $0.01 |        |        |   $0.02 | mistral-nemo                                        
OpenRouter                 | Llama 3.2 3B Instruct                                |   $0.01 |        |        |   $0.02 | llama-3.2-3b-instruct                               
HuggingFace (nscale)       | Qwen2.5-Coder-3B-Instruct                            |   $0.01 |        |        |   $0.03 | Qwen/Qwen2.5-Coder-3B-Instruct                      
HuggingFace (nscale)       | Qwen2.5-Coder-7B-Instruct                            |   $0.01 |        |        |   $0.03 | Qwen/Qwen2.5-Coder-7B-Instruct                      
HuggingFace (nscale)       | Qwen3-4B-Instruct-2507                               |   $0.01 |        |        |   $0.03 | Qwen/Qwen3-4B-Instruct-2507                         
HuggingFace (nscale)       | Qwen3-4B-Thinking-2507                               |   $0.01 |        |        |   $0.03 | Qwen/Qwen3-4B-Thinking-2507                         
OpenRouter                 | meta-llama/llama-3.2-1b-instruct                     |   $0.02 |        |        |   $0.02 | meta-llama/llama-3.2-1b-instruct                    
OpenRouter                 | LFM 3B                                               |   $0.02 |        |        |   $0.02 | lfm-3b                                              
OpenRouter                 | liquid/lfm-3b                                        |   $0.02 |        |        |   $0.02 | liquid/lfm-3b                                       
OpenRouter                 | meta-llama/llama-3.2-3b-instruct                     |   $0.01 |        |        |   $0.03 | meta-llama/llama-3.2-3b-instruct                    
OpenRouter                 | Llama 3.1 8B Instruct                                |   $0.02 |        |        |   $0.03 | llama-3.1-8b-instruct                               
OpenRouter                 | meta-llama/llama-3.1-8b-instruct                     |   $0.02 |        |        |   $0.03 | meta-llama/llama-3.1-8b-instruct                    
OpenRouter                 | Gemma 3 4B                                           |   $0.02 |        |        |   $0.04 | gemma-3-4b-it                                       
OpenRouter                 | google/gemma-3-4b-it                                 |   $0.02 |        |        |   $0.04 | google/gemma-3-4b-it                                
HuggingFace (together)     | Llama-3.2-3B-Instruct                                |   $0.02 |        |        |   $0.04 | meta-llama/Llama-3.2-3B-Instruct                    
HuggingFace (novita)       | Meta-Llama-3-8B-Instruct                             |   $0.03 |        |        |   $0.03 | meta-llama/Meta-Llama-3-8B-Instruct                 
OpenRouter                 | Hermes 2 Pro - Llama-3 8B                            |   $0.03 |        |        |   $0.04 | hermes-2-pro-llama-3-8b                             
OpenRouter                 | nousresearch/hermes-2-pro-llama-3-8b                 |   $0.03 |        |        |   $0.04 | nousresearch/hermes-2-pro-llama-3-8b                
HuggingFace (sambanova)    | Llama-3.1-8B-Instruct                                |   $0.02 |        |        |   $0.05 | meta-llama/Llama-3.1-8B-Instruct                    
OpenRouter                 | Llama 3 8B Lunaris                                   |   $0.02 |        |        |   $0.05 | l3-lunaris-8b                                       
OpenRouter                 | sao10k/l3-lunaris-8b                                 |   $0.02 |        |        |   $0.05 | sao10k/l3-lunaris-8b                                
Groq                       | llama-3.2-1b-preview                                 |   $0.04 |        |        |   $0.04 | llama-3.2-1b-preview                                
HuggingFace (nebius)       | gemma-2-2b-it                                        |   $0.02 |        |        |   $0.06 | google/gemma-2-2b-it                                
OpenRouter                 | Ministral 3B                                         |   $0.04 |        |        |   $0.04 | ministral-3b                                        
OpenRouter                 | deepseek/deepseek-r1-distill-llama-8b                |   $0.04 |        |        |   $0.04 | deepseek/deepseek-r1-distill-llama-8b               
OpenRouter                 | meta-llama/llama-3-8b-instruct                       |   $0.04 |        |        |   $0.04 | meta-llama/llama-3-8b-instruct                      
OpenRouter                 | meta-llama/llama-3.2-3b-instruct                     |   $0.03 |        |        |   $0.05 | meta-llama/llama-3.2-3b-instruct                    
OpenRouter                 | R1 Distill Llama 8B                                  |   $0.04 |        |        |   $0.04 | deepseek-r1-distill-llama-8b                        
OpenRouter                 | deepseek/deepseek-r1-distill-llama-8b                |   $0.04 |        |        |   $0.04 | deepseek/deepseek-r1-distill-llama-8b               
OpenRouter                 | Llama Guard 3 8B                                     |   $0.02 |        |        |   $0.06 | llama-guard-3-8b                                    
OpenRouter                 | Ministral 3B                                         |   $0.04 |        |        |   $0.04 | ministral-3b                                        
OpenRouter                 | mistralai/ministral-3b                               |   $0.04 |        |        |   $0.04 | mistralai/ministral-3b                              
OpenRouter                 | Mistral 7B Instruct                                  |   $0.03 |        |        |   $0.05 | mistral-7b-instruct                                 
OpenRouter                 | mistralai/mistral-7b-instruct                        |   $0.03 |        |        |   $0.06 | mistralai/mistral-7b-instruct                       
OpenRouter                 | Llama 3 8B Instruct                                  |   $0.03 |        |        |   $0.06 | llama-3-8b-instruct                                 
OpenRouter                 | meta-llama/llama-3-8b-instruct                       |   $0.03 |        |        |   $0.06 | meta-llama/llama-3-8b-instruct                      
OpenRouter                 | Llama 3.2 11B Vision Instruct                        |   $0.05 |        |        |   $0.05 | llama-3.2-11b-vision-instruct                       
OpenRouter                 | meta-llama/llama-3.2-11b-vision-instruct             |   $0.05 |        |        |   $0.05 | meta-llama/llama-3.2-11b-vision-instruct            
AWS Bedrock                | Titan Embeddings G1 - Text                           |   $0.10 |        |        |         | amazon.titan-embed-text-v1                          
OpenAI                     | ada                                                  |   $0.10 |        |        |         | ada                                                 
HuggingFace (novita)       | L3-8B-Lunaris-v1                                     |   $0.05 |        |        |   $0.05 | Sao10K/L3-8B-Lunaris-v1                             
Novita                     | L3-8B-Stheno-v3.2                                    |   $0.05 |        |        |   $0.05 | Sao10K/L3-8B-Stheno-v3.2                            
HuggingFace (nscale)       | DeepSeek-R1-Distill-Llama-8B                         |   $0.05 |        |        |   $0.05 | deepseek-ai/DeepSeek-R1-Distill-Llama-8B            
Novita                     | Sao10K/L3-8B-Stheno-v3.2                             |   $0.05 |        |        |   $0.05 | Sao10K/L3-8B-Stheno-v3.2                            
OpenRouter                 | meta-llama/llama-3.1-8b-instruct                     |   $0.05 |        |        |   $0.05 | meta-llama/llama-3.1-8b-instruct                    
Novita                     | sao10k/l3-8b-lunaris                                 |   $0.05 |        |        |   $0.05 | sao10k/l3-8b-lunaris                                
OpenAI                     | text embedding ada                                   |   $0.10 |        |        |         | text-embedding-ada-002                              
OpenRouter                 | Llama Guard 4 12B                                    |   $0.05 |        |        |   $0.05 | llama-guard-4-12b                                   
Novita                     | qwen/qwen-2-7b-instruct                              |   $0.05 |        |        |   $0.05 | qwen/qwen-2-7b-instruct                             
HuggingFace (novita)       | Baichuan-M2-32B                                      |   $0.06 |        |        |   $0.06 | baichuan-inc/Baichuan-M2-32B                        
OpenRouter                 | mistralai/mistral-nemo                               |   $0.04 |        |        |   $0.08 | mistralai/mistral-nemo                              
OpenRouter                 | mistralai/mistral-7b-instruct                        |   $0.06 |        |        |   $0.06 | mistralai/mistral-7b-instruct                       
Groq                       | llama-3.2-3b-preview                                 |   $0.06 |        |        |   $0.06 | llama-3.2-3b-preview                                
HuggingFace (nebius)       | Qwen2.5-Coder-7B                                     |   $0.03 |        |        |   $0.09 | Qwen/Qwen2.5-Coder-7B                               
OpenRouter                 | gemma-2-9b-it                                        |   $0.03 |        |        |   $0.09 | google/gemma-2-9b-it                                
HuggingFace (sambanova)    | Llama-3.1-8B-Instruct                                |   $0.03 |        |        |   $0.09 | meta-llama/Llama-3.1-8B-Instruct                    
HuggingFace (sambanova)    | Llama-3.1-8B-Instruct                                |   $0.06 |        |        |   $0.06 | meta-llama/Llama-3.1-8B-Instruct                    
Novita                     | meta-llama/llama-3.1-8b-instruct-bf16                |   $0.06 |        |        |   $0.06 | meta-llama/llama-3.1-8b-instruct-bf16               
OpenRouter                 | meta-llama/llama-3.2-11b-vision-instruct             |   $0.06 |        |        |   $0.06 | meta-llama/llama-3.2-11b-vision-instruct            
OpenRouter                 | openchat/openchat-7b                                 |   $0.06 |        |        |   $0.06 | openchat/openchat-7b                                
HuggingFace (together)     | Llama-3.2-3B-Instruct                                |   $0.06 |        |        |   $0.06 | meta-llama/Llama-3.2-3B-Instruct                    
OpenAI                     | text-embedding-3-large                               |   $0.13 |        |        |         | text-embedding-3-large                              
Groq                       | Llama 3.1 8B Instant 128k                            |   $0.05 |        |        |   $0.08 | llama-3.1-8b-instant                                
Groq                       | llama3-8b-8192                                       |   $0.05 |        |        |   $0.08 | llama3-8b-8192                                      
OpenRouter                 | Mistral Small 3                                      |   $0.05 |        |        |   $0.08 | mistral-small-24b-instruct-2501                     
OpenAI                     | text embedding 3                                     |   $0.13 |        |        |         | text-embedding-3-large                              
OpenRouter                 | gryphe/mythomax-l2-13b                               |   $0.07 |        |        |   $0.07 | gryphe/mythomax-l2-13b                              
OpenRouter                 | MythoMax 13B                                         |   $0.07 |        |        |   $0.07 | mythomax-l2-13b                                     
HuggingFace (novita)       | GLM-4.1V-9B-Thinking                                 |   $0.03 |        |        |   $0.11 | zai-org/GLM-4.1V-9B-Thinking                        
Groq                       | gemma-7b-it                                          |   $0.07 |        |        |   $0.07 | gemma-7b-it                                         
OpenRouter                 | google/gemma-2-9b-it                                 |   $0.07 |        |        |   $0.07 | google/gemma-2-9b-it                                
OpenRouter                 | microsoft/wizardlm-2-7b                              |   $0.07 |        |        |   $0.07 | microsoft/wizardlm-2-7b                             
OpenRouter                 | Mistral Small 3                                      |   $0.05 |        |        |   $0.09 | mistral-small-24b-instruct-2501                     
OpenRouter                 | openchat/openchat-7b                                 |   $0.07 |        |        |   $0.07 | openchat/openchat-7b                                
OpenRouter                 | Qwen2.5 7B Instruct                                  |   $0.04 |        |        |   $0.10 | qwen-2.5-7b-instruct                                
OpenRouter                 | undi95/toppy-m-7b                                    |   $0.07 |        |        |   $0.07 | undi95/toppy-m-7b                                   
Google                     | gemini-embedding-001                                 |   $0.15 |        |        |         | gemini-embedding-001                                
HuggingFace (novita)       | DeepSeek-R1-0528-Qwen3-8B                            |   $0.06 |        |        |   $0.09 | deepseek-ai/DeepSeek-R1-0528-Qwen3-8B               
OpenRouter                 | Phi 4 Multimodal Instruct                            |   $0.05 |        |        |   $0.10 | phi-4-multimodal-instruct                           
OpenRouter                 | Deepseek R1 0528 Qwen3 8B                            |   $0.05 |        |        |   $0.10 | deepseek-r1-0528-qwen3-8b                           
OpenRouter                 | Gemma 3 12B                                          |   $0.05 |        |        |   $0.10 | gemma-3-12b-it                                      
OpenRouter                 | google/gemma-3-12b-it                                |   $0.05 |        |        |   $0.10 | google/gemma-3-12b-it                               
OpenRouter                 | microsoft/phi-4-multimodal-instruct                  |   $0.05 |        |        |   $0.10 | microsoft/phi-4-multimodal-instruct                 
OpenRouter                 | Phi 4 Multimodal Instruct                            |   $0.05 |        |        |   $0.10 | phi-4-multimodal-instruct                           
OpenRouter                 | qwen/qwen-2.5-7b-instruct                            |   $0.05 |        |        |   $0.10 | qwen/qwen-2.5-7b-instruct                           
HuggingFace (together)     | gpt-oss-20b                                          |   $0.03 |        |        |   $0.12 | openai/gpt-oss-20b                                  
OpenRouter                 | google/gemma-2-9b-it                                 |   $0.08 |        |        |   $0.08 | google/gemma-2-9b-it                                
